Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,AvgH,AvgD,AvgA,P<2.5,FTR_A,FTR_D,FTR_H
2024-04-23,19:30:00,Standard,Mechelen,0.0,0.0,0.0,0.0,D,21.0,6.0,6.0,1.0,9.0,6.0,8.0,4.0,0.0,2.0,0.0,0.0,2.48,3.44,2.89,2.43,3.42,2.79,2.09,0.0,1.0,0.0
2024-04-23,19:30:00,Westerlo,Oud-Heverlee Leuven,1.0,1.0,1.0,0.0,H,15.0,20.0,3.0,7.0,7.0,14.0,9.0,4.0,2.0,3.0,0.0,0.0,2.53,3.55,2.77,2.45,3.54,2.71,2.28,0.0,1.0,0.0
2024-04-21,18:15:00,Charleroi,Eupen,1.0,0.0,1.0,0.0,H,19.0,9.0,7.0,3.0,12.0,8.0,7.0,4.0,1.0,1.0,0.0,0.0,1.67,3.9,5.0,1.67,3.8,4.82,1.99,0.0,0.0,1.0
2024-04-21,17:30:00,St. Gilloise,Club Brugge,1.0,2.0,0.0,0.0,D,18.0,9.0,6.0,2.0,14.0,11.0,10.0,8.0,3.0,3.0,0.0,1.0,2.31,3.39,3.1,2.28,3.41,2.98,2.0,1.0,0.0,0.0
2024-04-21,15:00:00,Kortrijk,RWD Molenbeek,2.0,4.0,1.0,3.0,A,16.0,14.0,8.0,8.0,11.0,10.0,11.0,4.0,2.0,4.0,0.0,0.0,2.08,3.36,3.67,2.07,3.41,3.46,1.83,1.0,0.0,0.0
2024-04-21,12:30:00,Cercle Brugge,Antwerp,0.0,1.0,0.0,0.0,D,16.0,12.0,4.0,8.0,12.0,5.0,7.0,2.0,4.0,1.0,0.0,0.0,2.66,3.42,2.71,2.59,3.39,2.61,2.02,1.0,0.0,0.0
2024-04-20,19:45:00,Genk,Anderlecht,2.0,1.0,1.0,0.0,H,22.0,9.0,10.0,2.0,10.0,10.0,4.0,3.0,1.0,1.0,0.0,0.0,2.18,3.52,3.37,2.13,3.53,3.23,2.12,0.0,0.0,1.0
2024-04-20,19:00:00,Gent,Mechelen,3.0,1.0,1.0,0.0,H,15.0,7.0,5.0,3.0,8.0,4.0,6.0,5.0,1.0,1.0,0.0,0.0,1.58,4.18,5.79,1.56,4.13,5.56,2.12,0.0,0.0,1.0
2024-04-20,17:15:00,Westerlo,Standard,3.0,3.0,1.0,1.0,D,19.0,17.0,6.0,8.0,8.0,12.0,6.0,7.0,1.0,1.0,0.0,0.0,2.66,3.57,2.61,2.59,3.49,2.56,2.13,0.0,1.0,0.0
2024-04-20,15:00:00,Oud-Heverlee Leuven,St Truiden,1.0,0.0,0.0,0.0,D,20.0,3.0,11.0,0.0,11.0,11.0,6.0,3.0,1.0,2.0,0.0,0.0,2.67,3.53,2.63,2.59,3.42,2.59,2.1,0.0,0.0,1.0
