HomeTeam,AwayTeam,FTR,head_to_head_games,head_to_head_goals_scored_home_team,head_to_head_goals_conceded_home_team,head_to_head_goals_scored_away_team,head_to_head_goals_conceded_away_team,home_average_goals_scored_5,home_average_goals_conceded_5,home_average_goal_difference_5,away_average_goals_scored_5,away_average_goals_conceded_5,away_average_goal_difference_5,home_average_goals_scored_10,home_average_goals_conceded_10,home_average_goal_difference_10,away_average_goals_scored_10,away_average_goals_conceded_10,away_average_goal_difference_10,home_average_goals_scored_20,home_average_goals_conceded_20,home_average_goal_difference_20,away_average_goals_scored_20,away_average_goals_conceded_20,away_average_goal_difference_20
Gent,Mechelen,H,6,13.0,5.0,5.0,13.0,2.0,1.4,0.6000000000000001,1.4,2.0,-0.6000000000000001,1.8,1.2,0.6000000000000001,1.7,1.9,-0.19999999999999996,2.0,0.9,1.1,1.6,1.8,-0.19999999999999996
Standard,Antwerp,H,6,10.0,11.0,11.0,10.0,1.4,0.6,0.7999999999999999,2.0,0.6,1.4,1.4,1.3,0.09999999999999987,2.2,0.8,1.4000000000000001,0.95,1.3,-0.3500000000000001,1.65,1.0,0.6499999999999999
Oud-Heverlee Leuven,Genk,A,4,5.0,9.0,9.0,5.0,2.0,1.8,0.19999999999999996,1.4,0.6,0.7999999999999999,1.9,1.8,0.09999999999999987,2.4,0.8,1.5999999999999999,1.45,1.85,-0.40000000000000013,2.2,1.0,1.2000000000000002
Cercle Brugge,Eupen,H,6,7.0,8.0,8.0,7.0,1.4,2.6,-1.2000000000000002,0.4,1.6,-1.2000000000000002,1.0,1.8,-0.8,0.8,1.7,-0.8999999999999999,1.2,1.8,-0.6000000000000001,0.75,2.0,-1.25
St Truiden,Charleroi,H,6,5.0,6.0,6.0,5.0,0.8,1.0,-0.19999999999999996,1.4,1.6,-0.20000000000000018,0.9,1.0,-0.09999999999999998,1.3,1.6,-0.30000000000000004,1.3,0.75,0.55,1.55,1.5,0.050000000000000044
Kortrijk,Waregem,A,6,13.0,7.0,7.0,13.0,1.2,2.2,-1.0000000000000002,0.6,3.0,-2.4,0.9,1.6,-0.7000000000000001,0.7,2.5,-1.8,1.1,1.85,-0.75,0.75,2.0,-1.25
Westerlo,Seraing,D,0,0.0,0.0,0.0,0.0,1.8,1.2,0.6000000000000001,1.4,1.4,0.0,1.8,1.8,0.0,1.1,1.7,-0.5999999999999999,0.0,0.0,0.0,0.75,1.85,-1.1
St. Gilloise,Cercle Brugge,H,2,6.0,2.0,2.0,6.0,2.2,1.6,0.6000000000000001,1.4,2.4,-1.0,1.7,1.4,0.30000000000000004,0.9,1.8,-0.9,1.95,1.0,0.95,1.15,1.75,-0.6000000000000001
Charleroi,Standard,A,6,9.0,6.0,6.0,9.0,1.6,2.0,-0.3999999999999999,1.4,0.6,0.7999999999999999,1.6,1.6,0.0,1.5,1.5,0.0,1.6,1.45,0.15000000000000013,0.95,1.35,-0.40000000000000013
Eupen,Gent,A,6,7.0,15.0,15.0,7.0,0.6,0.8,-0.20000000000000007,1.4,1.4,0.0,0.9,1.6,-0.7000000000000001,1.6,1.4,0.20000000000000018,0.75,1.8,-1.05,1.8,0.95,0.8500000000000001
Mechelen,Anderlecht,A,6,7.0,11.0,11.0,7.0,1.4,2.0,-0.6000000000000001,1.4,1.4,0.0,1.6,1.8,-0.19999999999999996,1.6,1.1,0.5,1.7,1.75,-0.050000000000000044,1.8,0.9,0.9
Club Brugge,Westerlo,A,0,0.0,0.0,0.0,0.0,2.4,0.8,1.5999999999999999,1.4,1.4,0.0,2.2,1.0,1.2000000000000002,1.8,1.8,0.0,2.45,0.85,1.6,0.0,0.0,0.0
Seraing,Oostende,D,2,4.0,5.0,5.0,4.0,1.2,2.0,-0.8,1.0,1.4,-0.3999999999999999,1.0,1.8,-0.8,1.1,1.5,-0.3999999999999999,0.7,1.8,-1.1,0.95,1.5,-0.55
Waregem,Oud-Heverlee Leuven,A,4,5.0,7.0,7.0,5.0,0.4,2.2,-1.8000000000000003,1.4,1.6,-0.20000000000000018,0.7,2.0,-1.3,1.6,1.6,0.0,0.65,1.85,-1.2000000000000002,1.35,1.8,-0.44999999999999996
