day,HomeTeam,AwayTeam
17,Standard,Oud-Heverlee Leuven
17,Gent,St Truiden
17,Antwerp,Charleroi
17,Cercle Brugge,St. Gilloise
17,Anderlecht,Beerschot VA
17,Dender,Westerlo
18,Mechelen,Antwerp
18,Beerschot VA,Standard
18,Oud-Heverlee Leuven,Charleroi
18,Kortrijk,Dender
18,Club Brugge,Genk
18,St. Gilloise,Westerlo
18,St Truiden,Anderlecht
18,Gent,Cercle Brugge
19,Westerlo,Mechelen
19,Charleroi,St Truiden
19,Dender,Antwerp
19,Beerschot VA,Kortrijk
19,Standard,Gent
19,Genk,Anderlecht
19,St. Gilloise,Club Brugge
19,Cercle Brugge,Oud-Heverlee Leuven
20,Antwerp,Genk
20,Club Brugge,Westerlo
20,Kortrijk,Charleroi
20,Mechelen,Standard
20,Gent,St. Gilloise
20,Oud-Heverlee Leuven,Beerschot VA
20,St Truiden,Cercle Brugge
20,Anderlecht,Dender
21,Beerschot VA,Antwerp
21,Genk,Oud-Heverlee Leuven
21,Standard,Kortrijk
21,Westerlo,St Truiden
21,Charleroi,St. Gilloise
21,Cercle Brugge,Mechelen
21,Anderlecht,Club Brugge
21,Dender,Gent
22,Gent,Charleroi
22,Mechelen,Genk
22,Kortrijk,Anderlecht
22,Antwerp,Westerlo
22,Club Brugge,Beerschot VA
22,Dender,Cercle Brugge
22,St Truiden,Standard
22,St. Gilloise,Oud-Heverlee Leuven
23,Beerschot VA,St. Gilloise
23,Westerlo,Genk
23,Charleroi,Cercle Brugge
23,Oud-Heverlee Leuven,Gent
23,Club Brugge,Kortrijk
23,Standard,Dender
23,St Truiden,Antwerp
23,Anderlecht,Mechelen
24,Gent,Anderlecht
24,Genk,Beerschot VA
24,St. Gilloise,St Truiden
24,Kortrijk,Westerlo
24,Antwerp,Club Brugge
24,Cercle Brugge,Standard
24,Charleroi,Dender
24,Oud-Heverlee Leuven,Mechelen
25,Westerlo,Standard
25,Anderlecht,Antwerp
25,Dender,St Truiden
25,Club Brugge,Oud-Heverlee Leuven
25,Beerschot VA,Charleroi
25,Genk,Cercle Brugge
25,Kortrijk,St. Gilloise
25,Mechelen,Gent
26,Antwerp,Kortrijk
26,Gent,Beerschot VA
26,Oud-Heverlee Leuven,Dender
26,St Truiden,Club Brugge
26,Standard,Genk
26,Cercle Brugge,Westerlo
26,St. Gilloise,Mechelen
26,Charleroi,Anderlecht
27,Dender,Beerschot VA
27,Westerlo,Charleroi
27,Kortrijk,Cercle Brugge
27,Anderlecht,St. Gilloise
27,Antwerp,Oud-Heverlee Leuven
27,Genk,Gent
27,Club Brugge,Standard
27,Mechelen,St Truiden
28,St. Gilloise,Dender
28,Standard,Anderlecht
28,Beerschot VA,Mechelen
28,Charleroi,Genk
28,Cercle Brugge,Antwerp
28,Gent,Club Brugge
28,Oud-Heverlee Leuven,Westerlo
28,St Truiden,Kortrijk
29,Dender,Genk
29,Kortrijk,Oud-Heverlee Leuven
29,St Truiden,Beerschot VA
29,St. Gilloise,Standard
29,Westerlo,Anderlecht
29,Cercle Brugge,Club Brugge
29,Antwerp,Gent
29,Charleroi,Mechelen
30,Standard,Antwerp
30,Oud-Heverlee Leuven,St Truiden
30,Club Brugge,Charleroi
30,Beerschot VA,Westerlo
30,Anderlecht,Cercle Brugge
30,Genk,St. Gilloise
30,Gent,Kortrijk
30,Mechelen,Dender
