HomeTeam,AwayTeam,FTHG,FTAG,FTR
Anderlecht,Genk,2.0,1.0,H
Antwerp,Westerlo,2.0,2.0,D
St Truiden,Charleroi,1.0,0.0,H
Eupen,St. Gilloise,1.0,2.0,A
RWD Molenbeek,Club Brugge,1.0,6.0,A
Gent,Oud-Heverlee Leuven,4.0,0.0,H
Mechelen,Standard,3.0,0.0,H
Cercle Brugge,Kortrijk,3.0,0.0,H
Genk,Kortrijk,4.0,0.0,H
Antwerp,Anderlecht,1.0,1.0,D
St. Gilloise,Mechelen,1.0,0.0,H
Club Brugge,Gent,2.0,0.0,H
Standard,Charleroi,0.0,0.0,D
RWD Molenbeek,St Truiden,3.0,0.0,H
Oud-Heverlee Leuven,Cercle Brugge,1.0,2.0,A
Westerlo,Eupen,2.0,0.0,H
Charleroi,St. Gilloise,1.0,3.0,A
Anderlecht,Standard,2.0,2.0,D
Eupen,Genk,1.0,3.0,A
Mechelen,Club Brugge,0.0,0.0,D
Gent,RWD Molenbeek,4.0,0.0,H
St Truiden,Oud-Heverlee Leuven,1.0,1.0,D
Cercle Brugge,Antwerp,1.0,3.0,A
Kortrijk,Westerlo,1.0,2.0,A
St. Gilloise,Cercle Brugge,2.0,1.0,H
Club Brugge,Standard,2.0,0.0,H
Mechelen,St Truiden,0.0,2.0,A
Genk,Gent,2.0,2.0,D
Antwerp,Oud-Heverlee Leuven,1.0,0.0,H
Eupen,Kortrijk,1.0,1.0,D
RWD Molenbeek,Charleroi,0.0,0.0,D
Westerlo,Anderlecht,1.0,3.0,A
Kortrijk,Mechelen,0.0,3.0,A
Anderlecht,RWD Molenbeek,2.0,1.0,H
Oud-Heverlee Leuven,Club Brugge,0.0,1.0,A
Gent,St. Gilloise,1.0,1.0,D
Standard,Genk,1.0,0.0,H
Charleroi,Westerlo,3.0,2.0,H
Cercle Brugge,Eupen,2.0,0.0,H
St Truiden,Antwerp,1.0,1.0,D
St. Gilloise,Kortrijk,3.0,0.0,H
Gent,Anderlecht,1.0,1.0,D
Genk,Oud-Heverlee Leuven,3.0,1.0,H
Club Brugge,Cercle Brugge,0.0,0.0,D
Mechelen,Charleroi,1.0,0.0,H
Eupen,RWD Molenbeek,1.0,3.0,A
Antwerp,Standard,6.0,0.0,H
Westerlo,St Truiden,3.0,3.0,D
Charleroi,Gent,1.0,3.0,A
St. Gilloise,Club Brugge,2.0,1.0,H
Standard,Mechelen,1.0,1.0,D
Cercle Brugge,Anderlecht,0.0,3.0,A
Antwerp,Genk,3.0,2.0,H
Oud-Heverlee Leuven,Westerlo,0.0,2.0,A
RWD Molenbeek,Kortrijk,1.0,1.0,D
St Truiden,Eupen,1.0,1.0,D
Kortrijk,Genk,0.0,3.0,A
Gent,Standard,3.0,1.0,H
Westerlo,St. Gilloise,1.0,3.0,A
Club Brugge,Antwerp,2.0,1.0,H
Anderlecht,Oud-Heverlee Leuven,5.0,1.0,H
Eupen,Charleroi,2.0,0.0,H
Mechelen,Cercle Brugge,0.0,2.0,A
St Truiden,RWD Molenbeek,2.0,1.0,H
Oud-Heverlee Leuven,St Truiden,4.0,0.0,H
Standard,Anderlecht,3.0,2.0,H
Cercle Brugge,Gent,2.0,0.0,H
Genk,Mechelen,4.0,0.0,H
Charleroi,Antwerp,3.0,2.0,H
RWD Molenbeek,Westerlo,1.0,1.0,D
Kortrijk,Club Brugge,1.0,0.0,H
St. Gilloise,Eupen,4.0,1.0,H
St Truiden,St. Gilloise,0.0,4.0,A
Gent,Genk,1.0,1.0,D
Antwerp,Eupen,4.0,1.0,H
Standard,Club Brugge,2.0,1.0,H
Anderlecht,Mechelen,3.0,1.0,H
Westerlo,Kortrijk,1.0,0.0,H
Cercle Brugge,Oud-Heverlee Leuven,3.0,2.0,H
Charleroi,RWD Molenbeek,2.0,1.0,H
RWD Molenbeek,Gent,1.0,1.0,D
Club Brugge,St Truiden,1.0,1.0,D
Genk,Westerlo,3.0,3.0,D
St. Gilloise,Charleroi,3.0,1.0,H
Mechelen,Antwerp,0.0,0.0,D
Oud-Heverlee Leuven,Standard,1.0,2.0,A
Eupen,Anderlecht,1.0,3.0,A
Kortrijk,Cercle Brugge,2.0,1.0,H
Club Brugge,Genk,1.0,1.0,D
RWD Molenbeek,St. Gilloise,2.0,3.0,A
Antwerp,Gent,0.0,0.0,D
Gent,Eupen,2.0,1.0,H
Anderlecht,Club Brugge,1.0,1.0,D
Cercle Brugge,St. Gilloise,0.0,2.0,A
Genk,St Truiden,3.0,3.0,D
Antwerp,RWD Molenbeek,0.0,0.0,D
Mechelen,Oud-Heverlee Leuven,1.0,2.0,A
Charleroi,Kortrijk,1.0,0.0,H
Standard,Westerlo,0.0,0.0,D
St Truiden,Mechelen,2.0,0.0,H
Oud-Heverlee Leuven,Gent,1.0,1.0,D
Kortrijk,Anderlecht,2.0,2.0,D
Eupen,Standard,1.0,3.0,A
Club Brugge,Charleroi,4.0,2.0,H
St. Gilloise,Genk,0.0,2.0,A
RWD Molenbeek,Cercle Brugge,2.0,1.0,H
Westerlo,Antwerp,0.0,3.0,A
Charleroi,St Truiden,1.0,1.0,D
Genk,Anderlecht,1.0,1.0,D
St. Gilloise,Antwerp,2.0,2.0,D
Gent,Club Brugge,2.0,1.0,H
Standard,RWD Molenbeek,1.0,1.0,D
Mechelen,Eupen,1.0,0.0,H
Cercle Brugge,Westerlo,2.0,1.0,H
Oud-Heverlee Leuven,Kortrijk,3.0,0.0,H
Anderlecht,Charleroi,2.0,1.0,H
St Truiden,Cercle Brugge,0.0,2.0,A
Kortrijk,Standard,1.0,1.0,D
Eupen,Oud-Heverlee Leuven,3.0,1.0,H
Westerlo,Mechelen,2.0,3.0,A
Kortrijk,Eupen,1.0,3.0,A
Club Brugge,RWD Molenbeek,7.0,1.0,H
Genk,Charleroi,0.0,0.0,D
Gent,St Truiden,2.0,2.0,D
Anderlecht,Westerlo,2.0,1.0,H
Mechelen,St. Gilloise,4.0,0.0,H
Standard,Cercle Brugge,0.0,1.0,A
Oud-Heverlee Leuven,Antwerp,1.0,1.0,D
Westerlo,Gent,1.0,3.0,A
Charleroi,Standard,1.0,1.0,D
Cercle Brugge,Genk,0.0,1.0,A
Eupen,Club Brugge,0.0,5.0,A
St Truiden,Anderlecht,0.0,1.0,A
St. Gilloise,Oud-Heverlee Leuven,5.0,1.0,H
RWD Molenbeek,Mechelen,1.0,0.0,H
Antwerp,Kortrijk,6.0,0.0,H
Kortrijk,St Truiden,0.0,1.0,A
Westerlo,Club Brugge,0.0,1.0,A
Mechelen,Gent,0.0,1.0,A
Anderlecht,Antwerp,1.0,0.0,H
Oud-Heverlee Leuven,RWD Molenbeek,1.0,2.0,A
Cercle Brugge,Charleroi,2.0,0.0,H
Genk,Eupen,0.0,1.0,A
Standard,St. Gilloise,0.0,1.0,A
St Truiden,Standard,1.0,0.0,H
Club Brugge,Mechelen,1.0,1.0,D
Gent,Kortrijk,3.0,2.0,H
Antwerp,Cercle Brugge,1.0,0.0,H
RWD Molenbeek,Genk,0.0,4.0,A
Charleroi,Oud-Heverlee Leuven,1.0,1.0,D
Eupen,Westerlo,2.0,2.0,D
St. Gilloise,Anderlecht,2.0,0.0,H
Anderlecht,Mechelen,2.0,3.0,A
Charleroi,Genk,2.0,2.0,D
Club Brugge,Eupen,7.0,0.0,H
Gent,Oostende,1.0,2.0,A
Kortrijk,St. Gilloise,2.0,4.0,A
Oud-Heverlee Leuven,Standard,3.0,2.0,H
Waregem,Cercle Brugge,2.0,3.0,A
St Truiden,Antwerp,0.0,1.0,A
Seraing,Westerlo,1.0,1.0,D
St. Gilloise,Seraing,2.0,1.0,H
Antwerp,Kortrijk,1.0,0.0,H
Mechelen,Gent,1.0,1.0,D
Genk,Anderlecht,5.0,2.0,H
Westerlo,Club Brugge,0.0,0.0,D
Cercle Brugge,St Truiden,3.0,1.0,H
Oostende,Oud-Heverlee Leuven,0.0,4.0,A
Eupen,Waregem,1.0,5.0,A
Standard,Charleroi,3.0,1.0,H
St Truiden,Oostende,5.0,0.0,H
Standard,Genk,2.0,0.0,H
Antwerp,Cercle Brugge,2.0,1.0,H
Anderlecht,Westerlo,0.0,0.0,D
Gent,St. Gilloise,1.0,1.0,D
Charleroi,Waregem,3.0,2.0,H
Kortrijk,Eupen,0.0,0.0,D
Oud-Heverlee Leuven,Mechelen,4.0,1.0,H
Club Brugge,Seraing,2.0,0.0,H
St. Gilloise,St Truiden,2.0,1.0,H
Mechelen,Club Brugge,0.0,3.0,A
Eupen,Anderlecht,0.0,1.0,A
Genk,Oud-Heverlee Leuven,2.0,1.0,H
Oostende,Standard,1.0,3.0,A
Seraing,Gent,0.0,5.0,A
Westerlo,Charleroi,2.0,3.0,A
Cercle Brugge,Kortrijk,2.0,0.0,H
Waregem,Antwerp,0.0,2.0,A
Gent,Eupen,3.0,0.0,H
St. Gilloise,Mechelen,2.0,1.0,H
Oud-Heverlee Leuven,Anderlecht,0.0,2.0,A
Antwerp,Charleroi,0.0,1.0,A
Standard,Waregem,2.0,2.0,D
Oostende,Westerlo,1.0,2.0,A
St Truiden,Seraing,2.0,1.0,H
Kortrijk,Club Brugge,1.0,0.0,H
Cercle Brugge,Genk,1.0,1.0,D
Anderlecht,Cercle Brugge,2.0,0.0,H
Genk,St. Gilloise,1.0,2.0,A
Waregem,Gent,2.0,6.0,A
Club Brugge,Standard,2.0,0.0,H
Seraing,Antwerp,0.0,2.0,A
Eupen,Oostende,4.0,4.0,D
Westerlo,Kortrijk,3.0,1.0,H
Mechelen,St Truiden,1.0,0.0,H
Charleroi,Oud-Heverlee Leuven,0.0,1.0,A
St. Gilloise,Eupen,2.0,1.0,H
Gent,Anderlecht,1.0,0.0,H
Antwerp,Mechelen,5.0,0.0,H
St Truiden,Genk,2.0,2.0,D
Standard,Westerlo,2.0,0.0,H
Cercle Brugge,Seraing,3.0,1.0,H
Oud-Heverlee Leuven,Waregem,4.0,2.0,H
Kortrijk,Charleroi,0.0,1.0,A
Oostende,Club Brugge,3.0,0.0,H
Charleroi,St Truiden,1.0,0.0,H
Anderlecht,Standard,2.0,2.0,D
Oud-Heverlee Leuven,Antwerp,1.0,1.0,D
Club Brugge,Gent,2.0,0.0,H
Westerlo,St. Gilloise,4.0,2.0,H
Eupen,Cercle Brugge,2.0,2.0,D
Genk,Oostende,3.0,0.0,H
Seraing,Mechelen,0.0,2.0,A
Waregem,Kortrijk,3.0,3.0,D
St Truiden,Westerlo,0.0,1.0,A
Kortrijk,Anderlecht,2.0,2.0,D
Gent,Oud-Heverlee Leuven,2.0,0.0,H
Cercle Brugge,Club Brugge,2.0,2.0,D
St. Gilloise,Standard,2.0,4.0,A
Oostende,Charleroi,0.0,0.0,D
Seraing,Waregem,1.0,1.0,D
Antwerp,Eupen,2.0,0.0,H
Mechelen,Genk,2.0,2.0,D
Waregem,Oostende,1.0,1.0,D
Standard,Kortrijk,0.0,2.0,A
Anderlecht,St Truiden,3.0,1.0,H
Genk,Antwerp,0.0,1.0,A
Charleroi,Seraing,3.0,0.0,H
Westerlo,Gent,3.0,3.0,D
Club Brugge,St. Gilloise,1.0,1.0,D
Eupen,Mechelen,2.0,1.0,H
Oud-Heverlee Leuven,Cercle Brugge,0.0,0.0,D
St. Gilloise,Waregem,4.0,0.0,H
Gent,Genk,2.0,3.0,A
Mechelen,Charleroi,2.0,2.0,D
Antwerp,Club Brugge,0.0,0.0,D
St Truiden,Kortrijk,1.0,0.0,H
Eupen,Westerlo,1.0,1.0,D
Seraing,Oud-Heverlee Leuven,2.0,1.0,H
Cercle Brugge,Standard,1.0,1.0,D
Oostende,Anderlecht,0.0,2.0,A
Eupen,Genk,1.0,1.0,D
Genk,Seraing,4.0,0.0,H
Waregem,Club Brugge,1.0,2.0,A
Cercle Brugge,Gent,3.0,2.0,H
Anderlecht,Antwerp,0.0,0.0,D
Charleroi,St. Gilloise,0.0,1.0,A
Kortrijk,Oostende,2.0,2.0,D
Oud-Heverlee Leuven,St Truiden,1.0,1.0,D
Westerlo,Mechelen,2.0,0.0,H
Standard,Eupen,3.0,1.0,H
St Truiden,Gent,0.0,3.0,A
Club Brugge,Charleroi,2.0,2.0,D
Seraing,Anderlecht,0.0,1.0,A
Antwerp,Standard,4.0,1.0,H
St. Gilloise,Oud-Heverlee Leuven,1.0,0.0,H
Mechelen,Kortrijk,3.0,2.0,H
Oostende,Cercle Brugge,1.0,2.0,A
Waregem,Westerlo,1.0,1.0,D
St Truiden,Club Brugge,1.0,1.0,D
Gent,Charleroi,0.0,0.0,D
Anderlecht,Waregem,2.0,3.0,A
Kortrijk,Seraing,3.0,2.0,H
Cercle Brugge,St. Gilloise,1.0,1.0,D
Oostende,Antwerp,0.0,3.0,A
Standard,Mechelen,2.0,0.0,H
Westerlo,Genk,2.0,3.0,A
Oud-Heverlee Leuven,Eupen,1.0,1.0,D
Charleroi,Cercle Brugge,2.0,1.0,H
St. Gilloise,Antwerp,2.0,0.0,H
Gent,Kortrijk,2.0,1.0,H
Club Brugge,Anderlecht,1.0,1.0,D
Genk,Waregem,1.0,0.0,H
Eupen,St Truiden,0.0,2.0,A
Mechelen,Oostende,2.0,1.0,H
Seraing,Standard,1.0,1.0,D
Westerlo,Oud-Heverlee Leuven,1.0,2.0,A
Oud-Heverlee Leuven,Kortrijk,2.0,3.0,A
Anderlecht,St. Gilloise,1.0,3.0,A
Waregem,Mechelen,2.0,0.0,H
Genk,Club Brugge,3.0,1.0,H
Antwerp,Gent,2.0,0.0,H
Cercle Brugge,Westerlo,0.0,1.0,A
Oostende,Seraing,1.0,2.0,A
Eupen,Charleroi,1.0,2.0,A
Standard,St Truiden,1.0,1.0,D
St Truiden,Waregem,2.0,0.0,H
Westerlo,Antwerp,3.0,3.0,D
Charleroi,Anderlecht,0.0,1.0,A
Kortrijk,Genk,1.0,0.0,H
St. Gilloise,Oostende,3.0,0.0,H
Club Brugge,Oud-Heverlee Leuven,1.0,1.0,D
Gent,Standard,0.0,0.0,D
Mechelen,Cercle Brugge,1.0,1.0,D
Seraing,Eupen,0.0,1.0,A
Kortrijk,Gent,0.0,4.0,A
Anderlecht,Genk,0.0,2.0,A
Standard,St. Gilloise,2.0,3.0,A
Club Brugge,Antwerp,2.0,2.0,D
Charleroi,Mechelen,0.0,5.0,A
St Truiden,Cercle Brugge,0.0,1.0,A
Waregem,Eupen,5.0,5.0,D
Westerlo,Oostende,6.0,0.0,H
Oud-Heverlee Leuven,Seraing,5.0,0.0,H
Oostende,Kortrijk,3.0,1.0,H
Antwerp,Anderlecht,0.0,0.0,D
St. Gilloise,Westerlo,1.0,1.0,D
Gent,Club Brugge,2.0,0.0,H
Eupen,Standard,2.0,0.0,H
Cercle Brugge,Oud-Heverlee Leuven,2.0,1.0,H
Seraing,St Truiden,1.0,2.0,A
Mechelen,Waregem,2.0,2.0,D
Genk,Charleroi,4.0,1.0,H
Charleroi,Antwerp,1.0,0.0,H
Oud-Heverlee Leuven,Gent,1.0,1.0,D
Seraing,St. Gilloise,1.0,2.0,A
Anderlecht,Eupen,4.0,2.0,H
Club Brugge,Oostende,4.0,2.0,H
Kortrijk,Cercle Brugge,1.0,1.0,D
Westerlo,St Truiden,2.0,3.0,A
Waregem,Standard,0.0,3.0,A
Genk,Mechelen,3.0,1.0,H
Oostende,Waregem,2.0,1.0,H
Standard,Anderlecht,5.0,0.0,H
Gent,Seraing,2.0,1.0,H
Antwerp,Genk,1.0,3.0,A
St. Gilloise,Club Brugge,2.0,2.0,D
Mechelen,Eupen,2.0,1.0,H
St Truiden,Oud-Heverlee Leuven,0.0,0.0,D
Kortrijk,Westerlo,0.0,2.0,A
Cercle Brugge,Charleroi,4.0,1.0,H
Waregem,Anderlecht,3.0,2.0,H
Antwerp,Oostende,3.0,0.0,H
Club Brugge,St Truiden,3.0,0.0,H
Mechelen,Standard,2.0,0.0,H
St. Gilloise,Gent,2.0,0.0,H
Genk,Westerlo,6.0,1.0,H
Seraing,Cercle Brugge,0.0,1.0,A
Charleroi,Kortrijk,2.0,2.0,D
Eupen,Oud-Heverlee Leuven,4.0,2.0,H
Oostende,St. Gilloise,1.0,6.0,A
Anderlecht,Club Brugge,0.0,1.0,A
Gent,Mechelen,3.0,0.0,H
Standard,Antwerp,3.0,0.0,H
Oud-Heverlee Leuven,Genk,0.0,1.0,A
Cercle Brugge,Eupen,5.0,1.0,H
St Truiden,Charleroi,2.0,1.0,H
Kortrijk,Waregem,1.0,3.0,A
Westerlo,Seraing,2.0,2.0,D
St. Gilloise,Cercle Brugge,2.0,1.0,H
Charleroi,Standard,0.0,1.0,A
Eupen,Gent,0.0,4.0,A
Mechelen,Anderlecht,1.0,3.0,A
Club Brugge,Westerlo,0.0,2.0,A
Seraing,Oostende,1.0,1.0,D
Waregem,Oud-Heverlee Leuven,2.0,5.0,A
Genk,Kortrijk,2.0,1.0,H
Antwerp,St Truiden,2.0,0.0,H
St Truiden,Eupen,0.0,1.0,A
Kortrijk,Antwerp,2.0,1.0,H
Gent,Cercle Brugge,3.0,4.0,A
Anderlecht,Charleroi,0.0,1.0,A
Club Brugge,Mechelen,3.0,0.0,H
Oostende,Genk,1.0,2.0,A
Westerlo,Waregem,2.0,0.0,H
Oud-Heverlee Leuven,St. Gilloise,0.0,3.0,A
Standard,Seraing,0.0,2.0,A
Anderlecht,Kortrijk,4.0,1.0,H
Standard,Club Brugge,3.0,0.0,H
Eupen,St. Gilloise,1.0,2.0,A
Genk,Gent,1.0,0.0,H
Charleroi,Westerlo,2.0,3.0,A
Cercle Brugge,Oostende,2.0,2.0,D
Waregem,St Truiden,0.0,3.0,A
Mechelen,Oud-Heverlee Leuven,0.0,0.0,D
Antwerp,Seraing,2.0,1.0,H
Gent,Waregem,2.0,0.0,H
St. Gilloise,Genk,1.0,2.0,A
Cercle Brugge,Antwerp,0.0,2.0,A
Westerlo,Anderlecht,2.0,1.0,H
Oud-Heverlee Leuven,Charleroi,3.0,2.0,H
Oostende,Eupen,1.0,0.0,H
Seraing,Club Brugge,0.0,2.0,A
Kortrijk,Mechelen,1.0,4.0,A
